keyword,text
poor-families,"( July 24 , 2018 , Chennai , Sri Lanka Guardian ) The most serious harm and injustice being done to the millions of poor families all over India is the lack of availability of quality education for their children ."
refugee,"The past year has not been easy -- neither for the refugees , nor for those assisting them . A process complicated by the knowledge that there is no end in sight to the suffering of the most persecuted community in the world , with diplomatic deals regarding repatriation , having failed time and time again in the past ."
vulnerable,"Meanwhile , Dr. Thomas told JIS News that the seminar was staged for all well- thinking Jamaicans with a passion for helping this vulnerable group ."
hopeless,"Since its inception in 1994 , the NCVT has had vast experience in assisting women from impoverished areas such as Diepsloot , Zandspruit , and Cosmo City . These women often face seemingly hopeless situations , including physical and emotional abuse . With Women 's Month approaching , NCVT reflects on these challenges and the supportive role that social workers play . <h> Poverty and domestic violence"
vulnerable,"A lot of places were using vulnerable people , offering them somewhere to get a foot in the door , to get started and to be mentored ."
in-need,"Adopt a Mission serves as a platform for the church and for likeminded people to reach out to unemployed families in the communities -- whoever is in need . "" <h> The forgotten people of Brooklyn"
vulnerable,"My own sense of revulsion grew last night after my wife returned from a Delhi home for the blind where children live in squalid , cramped conditions , Braille books were missing , and unpaid teachers were absent . "" House mothers "" paid for by foreign donors were missing and these vulnerable children were left alone at night protected only by a low-paid security guard ."
poor-families,"Five years down the lane , the schools whose learners are mostly from the poor families had to survive on their own and as times goes by , Tanzania has recently witnessed massive involvement of private sectors supporting local government authorities to improve situation on ward secondary schools ."
refugee,"She also praised the efforts to stabilise the lives of refugees , by providing for their basic needs and helping them overcome their challenges , while stressing that supporting refugees is an ongoing part of the UAE 's humanitarian directives , and the country has taken the responsibility to evaluate their needs and provide them with a variety of urgent and essential aid ."
in-need,"Bridge2Aid is a dental charity that is working towards a world free from dental pain . Bridge2Aid empowers health workers who are already established and well respected members of rural communities . The NGOs provides them with skills , experience and equipment to help those in need ."
homeless,"Viral photo helping fund homeless kid , his dog"
disabled,""" This definitive outcome is a testament to the foresight of those who launched the programme , believing that elimination was possible in one of the world 's most endemic countries . In human terms , these children will never have to worry about being disabled by lymphatic filariasis . """
in-need,Department of Health Minister Steve Brine said the UK has a ' proud tradition ' of supporting nations in need .
homeless,Schools have to also provide information on whether they are providing free hostel or text books to homeless children . The Aadhar card number has been made compulsory and it is the duty of schools to help students obtain the same .
poor-families,"Desertification which affects Yunusari , Yusufari , Karasuwa , Machina , Geidam and Bursari local government areas is increasingly diminishing the space for agricultural activities and livestock development . For many years , Yobe state has been screaming and asking for help to deal with desertification because it is depriving many poor families of their means of livelihood and even shelter . One needs to just visit Tulo-Tulo in Yusufari Local Government Area to have a picture of the disaster that is making life more difficult every day for thousands of families ."
